,Company size,Total views,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total),Industry,Total followers,Job function,Sponsored followers,Organic followers,Seniority,Location,Update title,Update type,Created date,Audience,Impressions,Clicks,Click through rate (CTR),Likes,Comments,Shares,Engagement rate,Content Type,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
0,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2-10,2768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11-50,2402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,51-200,2146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,201-500,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,501-1000,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001-5000,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5001-10000,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10001+,6088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,04/15/2021,34.0,31.0,4.0,3.0,1.0,0.0,0.2352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,04/16/2021,77.0,38.0,2.0,2.0,0.0,0.0,0.0519480519480519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,04/17/2021,66.0,39.0,1.0,1.0,0.0,0.0,0.0303030303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,04/18/2021,67.0,39.0,1.0,0.0,0.0,0.0,0.0149253731343283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,04/19/2021,258.0,154.0,17.0,14.0,6.0,8.0,0.1744186046511628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,04/20/2021,62.0,44.0,3.0,2.0,0.0,1.0,0.0967741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,04/21/2021,172.0,111.0,14.0,10.0,1.0,1.0,0.1511627906976744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,04/22/2021,587.0,382.0,43.0,33.0,2.0,6.0,0.1431005110732538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,04/23/2021,373.0,177.0,15.0,26.0,0.0,2.0,0.1152815013404825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,04/24/2021,85.0,47.0,2.0,0.0,0.0,1.0,0.0352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,04/25/2021,70.0,26.0,2.0,2.0,0.0,1.0,0.0714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,04/26/2021,305.0,134.0,44.0,19.0,2.0,8.0,0.2393442622950819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,04/27/2021,1325.0,809.0,54.0,32.0,8.0,10.0,0.0784905660377358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,04/28/2021,558.0,384.0,21.0,10.0,4.0,0.0,0.0627240143369175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,04/29/2021,138.0,96.0,10.0,4.0,0.0,1.0,0.108695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,04/30/2021,542.0,273.0,16.0,19.0,1.0,4.0,0.07380073800738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,05/01/2021,548.0,272.0,42.0,21.0,5.0,5.0,0.1332116788321168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,05/02/2021,429.0,207.0,21.0,4.0,0.0,1.0,0.0606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
