Date,Sponsored followers,Organic followers,Total followers
02/03/2022,0,8,8
02/04/2022,0,1,1
02/05/2022,0,6,6
02/06/2022,0,27,27
02/07/2022,0,12,12
02/08/2022,0,10,10
02/09/2022,0,20,20
02/10/2022,0,20,20
02/11/2022,0,17,17
02/12/2022,0,5,5
02/13/2022,0,9,9
02/14/2022,0,10,10
02/15/2022,0,9,9
02/16/2022,0,13,13
02/17/2022,0,19,19
02/18/2022,0,15,15
02/19/2022,0,20,20
02/20/2022,0,19,19
02/21/2022,0,16,16
02/22/2022,0,29,29
02/23/2022,0,27,27
02/24/2022,0,16,16
02/25/2022,0,20,20
02/26/2022,0,17,17
02/27/2022,0,33,33
02/28/2022,0,29,29
