,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total)
158,08/06/2021,292,155,13,2,0,0,0.05136986301369863
159,08/07/2021,290,132,22,6,1,0,0.1
160,08/08/2021,278,111,22,3,0,0,0.08992805755395683
161,08/09/2021,201,89,27,0,0,0,0.13432835820895522
162,08/10/2021,326,81,39,-1,2,0,0.12269938650306748
163,08/11/2021,234,88,70,7,1,0,0.3333333333333333
164,08/12/2021,1207,731,692,15,0,1,0.5865782932891467
165,08/13/2021,831,406,142,18,0,1,0.19374247894103488
166,08/14/2021,379,197,45,6,0,0,0.1345646437994723
167,08/15/2021,779,368,26,21,4,3,0.0693196405648267
168,08/16/2021,558,319,102,3,0,1,0.18996415770609318
169,08/17/2021,314,139,25,2,0,0,0.08598726114649681
170,08/18/2021,238,99,41,4,0,0,0.18907563025210083
171,08/19/2021,193,94,18,0,1,0,0.09844559585492228
172,08/20/2021,209,122,1,5,0,0,0.028708133971291867
173,08/21/2021,676,338,194,10,2,0,0.3047337278106509
174,08/22/2021,786,420,282,5,0,0,0.3651399491094148
175,08/23/2021,758,278,139,1,0,0,0.18469656992084432
176,08/24/2021,469,157,24,0,1,0,0.053304904051172705
177,08/25/2021,753,292,93,11,8,0,0.14873837981407703
178,08/26/2021,465,121,24,3,0,0,0.05806451612903226
179,08/27/2021,288,83,36,1,0,0,0.1284722222222222
180,08/28/2021,577,119,98,0,0,0,0.16984402079722705
181,08/29/2021,331,93,22,0,0,0,0.06646525679758308
182,08/30/2021,1236,684,58,28,0,1,0.0703883495145631
183,08/31/2021,801,447,34,19,1,2,0.06991260923845194
184,09/01/2021,2037,1150,80,51,1,4,0.06676485027000491
185,09/02/2021,762,409,84,14,0,1,0.12992125984251968
186,09/03/2021,1541,728,900,35,3,0,0.6086956521739131
187,09/04/2021,2017,869,938,27,3,0,0.47992067426871593
188,09/05/2021,1619,802,313,22,5,4,0.2124768375540457
189,09/06/2021,1609,737,299,34,3,9,0.2144188937228092
190,09/07/2021,754,430,160,12,1,0,0.22944297082228116
191,09/08/2021,3626,1922,198,90,6,4,0.0821842250413679
192,09/09/2021,2815,1659,153,68,7,4,0.08241563055062166
193,09/10/2021,1347,753,83,42,0,1,0.0935412026726058
194,09/11/2021,679,352,28,10,0,1,0.05743740795287187
195,09/12/2021,704,296,66,10,6,0,0.11647727272727272
196,09/13/2021,595,237,46,10,0,0,0.09411764705882353
197,09/14/2021,1416,714,85,50,4,4,0.10098870056497175
198,09/15/2021,886,356,206,16,1,1,0.2528216704288939
199,09/16/2021,1295,458,140,17,2,2,0.12432432432432433
200,09/17/2021,782,393,86,13,0,2,0.12915601023017903
201,09/18/2021,757,401,85,6,0,0,0.1202113606340819
202,09/19/2021,776,431,39,4,0,1,0.05670103092783505
203,09/20/2021,815,384,102,7,0,0,0.13374233128834356
204,09/21/2021,865,293,115,17,0,1,0.15375722543352602
205,09/22/2021,613,284,27,5,0,0,0.052202283849918436
206,09/23/2021,274,108,72,5,0,1,0.2846715328467153
207,09/24/2021,232,93,86,3,0,0,0.38362068965517243
208,09/25/2021,292,109,25,0,0,0,0.08561643835616438
209,09/26/2021,362,93,61,5,0,0,0.18232044198895028
210,09/27/2021,628,86,221,0,0,0,0.3519108280254777
211,09/28/2021,576,211,57,8,0,1,0.11458333333333333
212,09/29/2021,930,331,196,20,0,2,0.23440860215053763
213,09/30/2021,1006,311,230,7,0,0,0.2355864811133201
214,10/01/2021,671,132,59,3,1,0,0.09388971684053651
215,10/02/2021,564,127,90,5,3,0,0.17375886524822695
216,10/03/2021,2014,885,2235,33,5,2,1.1295928500496524
217,10/04/2021,1033,419,924,6,3,0,0.9031945788964182
218,10/05/2021,650,188,420,4,3,0,0.6569230769230769
219,10/06/2021,776,358,281,11,0,1,0.37757731958762886
220,10/07/2021,487,251,127,5,0,0,0.27104722792607805
221,10/08/2021,390,111,87,1,0,0,0.22564102564102564
222,10/09/2021,302,99,297,3,0,1,0.9966887417218543
223,10/10/2021,1321,585,193,30,0,5,0.17259651778955337
224,10/11/2021,738,271,179,8,1,1,0.25609756097560976
225,10/12/2021,368,116,102,2,0,1,0.28532608695652173
226,10/13/2021,788,89,305,2,0,0,0.3895939086294416
227,10/14/2021,703,99,245,3,0,1,0.3541963015647226
228,10/15/2021,1818,815,3722,30,2,0,2.064906490649065
229,10/16/2021,4925,2210,5192,76,28,5,1.0763451776649746
230,10/17/2021,3839,1618,3513,48,10,1,0.9304506381870279
231,10/18/2021,4818,2445,4225,53,14,1,0.8910336239103362
232,10/19/2021,2450,1273,925,40,4,1,0.39591836734693875
233,10/20/2021,1303,572,597,10,0,0,0.4658480429777437
234,10/21/2021,1467,662,262,16,0,1,0.1901840490797546
235,10/22/2021,989,420,364,11,0,2,0.38119312436804853
236,10/23/2021,1092,350,516,4,0,0,0.47619047619047616
237,10/24/2021,692,187,388,5,0,0,0.5679190751445087
238,10/25/2021,780,194,247,4,0,0,0.3217948717948718
239,10/26/2021,645,120,303,0,0,0,0.4697674418604651
240,10/27/2021,465,135,295,3,0,0,0.6408602150537634
241,10/28/2021,561,164,429,3,0,0,0.7700534759358288
242,10/29/2021,558,143,347,6,0,0,0.6326164874551972
243,10/30/2021,445,92,148,0,0,0,0.3325842696629214
244,10/31/2021,697,112,305,1,0,0,0.43902439024390244
245,11/01/2021,1163,295,157,13,0,1,0.1470335339638865
246,11/02/2021,508,166,70,6,0,0,0.14960629921259844
247,11/03/2021,357,36,112,1,0,0,0.3165266106442577
248,11/04/2021,278,33,48,0,0,0,0.17266187050359713
249,11/05/2021,359,33,157,2,0,0,0.4428969359331476
250,11/06/2021,1150,561,1383,23,0,1,1.2234782608695651
251,11/07/2021,1110,594,1488,9,0,1,1.3495495495495495
252,11/08/2021,312,162,380,5,0,0,1.233974358974359
253,11/09/2021,1088,457,727,3,3,0,0.6737132352941176
254,11/10/2021,378,99,748,1,0,0,1.9814814814814814
255,11/11/2021,279,87,160,5,0,0,0.5913978494623656
256,11/12/2021,444,76,257,0,0,0,0.5788288288288288
257,11/13/2021,776,359,193,17,1,1,0.27319587628865977
258,11/14/2021,467,246,121,6,2,1,0.278372591006424
259,11/15/2021,434,132,125,2,0,1,0.29493087557603687
260,11/16/2021,708,192,190,7,0,0,0.2782485875706215
261,11/17/2021,307,119,330,2,0,0,1.0814332247557004
262,11/18/2021,760,304,834,15,6,0,1.125
263,11/19/2021,3384,1814,3068,43,9,3,0.9228723404255319
264,11/20/2021,873,475,841,5,1,0,0.9702176403207331
265,11/21/2021,651,299,250,4,0,0,0.3901689708141321
266,11/22/2021,1131,495,641,24,2,3,0.5923961096374889
267,11/23/2021,1375,742,300,53,3,3,0.2610909090909091
